length of solution,time(s),,length of solution,average time(s)
8,0.000120163,,,
8,0.000135183,,,
8,0.00013566,,,
8,0.000135183,,,
8,0.000132322,,,
8,0.000118732,,,
8,0.000132084,,,
8,0.00012207,,,
8,0.000130653,,,
8,0.000125408,,,
8,0.000134468,,,
8,0.000136614,,,
8,0.000133038,,,
8,0.00012064,,,
8,0.000133276,,,
8,0.000123024,,,
8,0.000122309,,,
8,0.000119925,,,
8,0.000132799,,,
8,0.000134706,,,
8,0.000132561,,,
8,0.00013423,,,
8,0.000133991,,,
8,0.000123739,,,
8,0.000136614,,,
8,0.000134468,,,
8,0.000120878,,,
8,0.000136614,,,
8,0.000132322,,,
8,0.000131369,,,
8,0.000135422,,,
8,0.000132084,,,
8,0.000134945,,,
8,0.000119925,,,
8,0.000133276,,,
8,0.000132084,,,
8,0.00013423,,,
8,0.000134468,,,
8,0.000135422,,,
8,0.00013113,,,
8,0.000134945,,,
8,0.000133991,,,
8,0.00012064,,,
8,0.000119686,,,
8,0.000132084,,,
8,0.000133753,,,
8,0.000121117,,,
8,0.000121355,,,
8,0.000116825,,,
8,0.00013113,,,
8,0.000132799,,,
8,0.000130892,,,
8,0.000133991,,,
8,0.000120401,,,
8,0.000136375,,,
8,0.000132322,,,
8,0.00012207,,,
8,0.000121117,,,
8,0.000134468,,,
8,0.000120878,,,
8,0.000136614,,,
8,0.000122547,,,
8,0.00013423,,,
8,0.000133276,,,
8,0.00012064,,,
8,0.000121355,,,
8,0.000158072,,,
8,0.000124931,,,
8,0.000133038,,,
8,0.00012064,,,
8,0.000121593,,,
8,0.000116587,,,
8,0.000132561,,,
8,0.000132561,,,
8,0.000131845,,,
8,0.000137091,,,
8,0.000121117,,,
8,0.00012517,,,
8,0.000123978,,,
8,0.000136614,,,
8,0.000122309,,,
8,0.000119925,,,
8,0.000131369,,,
8,0.000129223,,,
8,0.000131845,,,
8,0.000117779,,,
8,0.000118732,,,
8,0.000129461,,,
8,0.000133276,,,
8,0.000134706,,,
8,0.00012207,,,
8,0.000118017,,,
8,0.00013423,,,
8,0.000123024,,,
8,0.000176191,,,
8,0.00012064,,,
8,0.000133276,,,
8,0.000118732,,,
8,0.000132322,,,
8,0.000119686,,,
8,0.000135422,,,
8,0.000132799,,,
8,0.000134468,,,
8,0.000119686,,,
8,0.000137568,,,
8,0.000131845,,,
8,0.000120401,,,
8,0.000135183,,,
8,0.000133753,,,
8,0.000133514,,,
8,0.000133753,,,
8,0.000136614,,,
8,0.00012207,,,
8,0.000133276,,,
8,0.000140429,,,
8,0.000130892,,,
8,0.000132799,,,
8,0.000134706,,,
8,0.000120878,,,
8,0.000131845,,,
8,0.000134945,,,
8,0.000132561,,,
8,0.000132322,,,
8,0.000111103,,,
8,0.000137091,,,
8,0.000119925,,,
8,0.000132799,,,
8,0.00014472,,,
8,0.000132084,,,
8,0.00012064,,,
8,0.000121593,,,
8,0.00013566,,,
8,0.000136137,,,
8,0.000151873,,,
8,0.000132799,,,
8,0.000134945,,,
8,0.000120878,,,
8,0.000122786,,,
8,0.000133753,,,
8,0.000119209,,,
8,0.000137329,,,
8,0.000133276,,,
8,0.000135422,,,
8,0.000121117,,,
8,0.000132799,,,
8,0.000132084,,,
8,0.000132322,,,
8,0.000134945,,,
8,0.000134468,,,
8,0.000137568,,,
8,0.000133276,,,
8,0.000132322,,,
8,0.000132084,,,
8,0.000123024,,,
8,0.000118971,,,
8,0.000122547,,,
8,0.000130892,,,
8,0.000130653,,,
8,0.000119209,,,
8,0.00013423,,,
8,0.000130892,,,
8,0.000108957,,,
8,0.000133514,,,
8,0.000130653,,,
8,0.000118256,,,
8,0.000165224,,,
8,0.000134945,,,
10,0.000155449,,,
10,0.000171423,,,
10,0.000156164,,,
10,0.000152349,,,
10,0.000127077,,,
10,0.000173807,,,
10,0.000147104,,,
10,0.000141621,,,
10,0.000175476,,,
10,0.000170946,,,
10,0.000157118,,,
10,0.000142813,,,
10,0.000171423,,,
10,0.000157356,,,
10,0.00015831,,,
10,0.000144243,,,
10,0.000145197,,,
10,0.000157118,,,
10,0.000156641,,,
10,0.000184536,,,
10,0.000145197,,,
10,0.000174761,,,
10,0.000157833,,,
10,0.000157833,,,
10,0.00017333,,,
10,0.000157833,,,
10,0.000160933,,,
10,0.000159502,,,
10,0.000172853,,,
10,0.000161886,,,
10,0.00015974,,,
10,0.000157833,,,
10,0.00015831,,,
10,0.000159025,,,
10,0.000159979,,,
10,0.000172377,,,
10,0.000143051,,,
10,0.000160456,,,
10,0.000164509,,,
10,0.000185251,,,
10,0.000173569,,,
10,0.000172615,,,
10,0.000243902,,,
10,0.000155449,,,
10,0.000159025,,,
10,0.000202894,,,
10,0.000159979,,,
10,0.000174999,,,
10,0.000161886,,,
10,0.000154257,,,
10,0.000170469,,,
10,0.000172853,,,
10,0.000144482,,,
10,0.000158072,,,
10,0.000148773,,,
10,0.000161648,,,
10,0.000162601,,,
10,0.000159264,,,
10,0.000173092,,,
10,0.000171185,,,
10,0.000150204,,,
10,0.000171661,,,
10,0.000174999,,,
10,0.000159979,,,
10,0.000144005,,,
10,0.000159025,,,
10,0.000172615,,,
10,0.000145197,,,
10,0.000173569,,,
10,0.000148296,,,
10,0.0001719,,,
10,0.000155687,,,
10,0.000160217,,,
10,0.000159979,,,
10,0.000163317,,,
10,0.000172853,,,
10,0.000160217,,,
10,0.000166655,,,
10,0.000158548,,,
10,0.000160694,,,
10,0.000159502,,,
10,0.000174522,,,
10,0.000157118,,,
10,0.000168085,,,
10,0.000157356,,,
10,0.000158787,,,
10,0.000169516,,,
10,0.000172853,,,
10,0.00015831,,,
10,0.00015831,,,
10,0.000145674,,,
10,0.000174999,,,
10,0.000156879,,,
10,0.000172138,,,
10,0.00014782,,,
10,0.000173807,,,
10,0.000172377,,,
10,0.000167608,,,
10,0.000160933,,,
10,0.000143766,,,
10,0.000157356,,,
10,0.000171661,,,
10,0.000158548,,,
10,0.000159979,,,
10,0.000174522,,,
10,0.000173092,,,
10,0.000180244,,,
10,0.000167847,,,
10,0.000163555,,,
10,0.0001719,,,
10,0.000155449,,,
10,0.000167847,,,
10,0.000161171,,,
10,0.000144482,,,
10,0.000171661,,,
10,0.000144243,,,
10,0.00016427,,,
10,0.000159264,,,
10,0.000178576,,,
10,0.00017333,,,
10,0.000159502,,,
10,0.000176907,,,
10,0.000244856,,,
10,0.000160456,,,
10,0.000156879,,,
10,0.000242472,,,
10,0.000142336,,,
10,0.000175953,,,
10,0.000157833,,,
10,0.000174046,,,
10,0.00015831,,,
10,0.0001719,,,
10,0.000144958,,,
10,0.000158787,,,
10,0.000156641,,,
10,0.000157356,,,
10,0.000158072,,,
10,0.000155449,,,
10,0.000161886,,,
10,0.000162363,,,
10,0.000156879,,,
10,0.000201225,,,
10,0.000145197,,,
10,0.000172138,,,
10,0.000157833,,,
10,0.000143766,,,
10,0.000147581,,,
10,0.000155687,,,
10,0.000156879,,,
10,0.000153065,,,
10,0.000173092,,,
10,0.000160217,,,
10,0.000157118,,,
10,0.000157595,,,
10,0.000164747,,,
10,0.000155449,,,
10,0.000143051,,,
10,0.000171185,,,
10,0.00014472,,,
10,0.000145197,,,
10,0.000142097,,,
10,0.000154495,,,
10,0.000172377,,,
10,0.000158787,,,
10,0.000143051,,,
10,0.000158548,,,
10,0.0001719,,,
10,0.000154734,,,
10,0.000174522,,,
10,0.000159264,,,
10,0.0001719,,,
10,0.000152349,,,
10,0.000154972,,,
10,0.00017333,,,
10,0.000157595,,,
10,0.000155926,,,
10,0.00015521,,,
10,0.000156403,,,
10,0.00015974,,,
10,0.000172615,,,
10,0.000158072,,,
10,0.000154257,,,
10,0.000158072,,,
10,0.000172615,,,
10,0.00014472,,,
10,0.000154972,,,
10,0.000154972,,,
10,0.000172615,,,
10,0.000155926,,,
10,0.000156403,,,
10,0.000159025,,,
10,0.000155449,,,
10,0.000144005,,,
10,0.000155687,,,
10,0.000159502,,,
10,0.000170946,,,
10,0.00015831,,,
10,0.000157118,,,
10,0.00017786,,,
10,0.000156879,,,
10,0.00014329,,,
10,0.000157356,,,
10,0.00015974,,,
10,0.000184536,,,
10,0.000174522,,,
10,0.00014329,,,
10,0.000160456,,,
10,0.000143528,,,
10,0.000172853,,,
10,0.00015831,,,
10,0.000159502,,,
10,0.000172377,,,
10,0.000157118,,,
10,0.000158787,,,
10,0.000157118,,,
10,0.000172853,,,
10,0.00018549,,,
10,0.000171185,,,
10,0.000158787,,,
10,0.000146627,,,
10,0.000277758,,,
10,0.000171661,,,
10,0.000157595,,,
10,0.000157118,,,
10,0.000157833,,,
10,0.000171661,,,
10,0.000154972,,,
10,0.000154018,,,
10,0.000149488,,,
10,0.000153303,,,
10,0.000193357,,,
10,0.000154495,,,
10,0.00014782,,,
10,0.000156403,,,
10,0.000156403,,,
10,0.000156879,,,
10,0.000168562,,,
10,0.00015378,,,
10,0.000143528,,,
10,0.000274658,,,
10,0.000177145,,,
10,0.000157833,,,
10,0.000157118,,,
10,0.000171423,,,
10,0.000172377,,,
10,0.000171185,,,
10,0.000174284,,,
10,0.000157595,,,
10,0.000143528,,,
10,0.000158548,,,
10,0.000158072,,,
10,0.000159025,,,
10,0.00015831,,,
10,0.000143051,,,
10,0.000142574,,,
10,0.00017333,,,
10,0.00014925,,,
10,0.000171185,,,
10,0.00015521,,,
10,0.000157118,,,
10,0.000155926,,,
10,0.000157118,,,
10,0.000173092,,,
10,0.000172377,,,
10,0.00015521,,,
10,0.000163317,,,
10,0.000155449,,,
10,0.000172853,,,
10,0.000157833,,,
10,0.000162125,,,
10,0.000157356,,,
10,0.000172853,,,
10,0.000172138,,,
10,0.000158787,,,
10,0.000158072,,,
10,0.000170708,,,
10,0.000154734,,,
10,0.000159264,,,
10,0.000161409,,,
10,0.000142574,,,
10,0.000172377,,,
10,0.000157356,,,
10,0.000142813,,,
10,0.000157833,,,
10,0.000173092,,,
10,0.00015521,,,
10,0.000157833,,,
10,0.000160933,,,
10,0.000154734,,,
10,0.000133276,,,
10,0.000159979,,,
10,0.000174046,,,
10,0.000158787,,,
10,0.000174046,,,
10,0.000157356,,,
10,0.000172377,,,
10,0.000157595,,,
10,0.000173092,,,
10,0.000172377,,,
10,0.000157356,,,
10,0.000144958,,,
10,0.000143528,,,
10,0.000156403,,,
10,0.000169992,,,
10,0.00015831,,,
10,0.00015521,,,
10,0.000157118,,,
10,0.000172615,,,
10,0.000158787,,,
10,0.000157118,,,
10,0.000237465,,,
10,0.000170946,,,
10,0.000160217,,,
10,0.000175476,,,
10,0.00015974,,,
10,0.00015831,,,
10,0.000144482,,,
10,0.000153303,,,
10,0.000156164,,,
10,0.000172615,,,
10,0.000141144,,,
10,0.000162601,,,
10,0.000187397,,,
10,0.000156641,,,
10,0.000169039,,,
10,0.000157356,,,
10,0.000155926,,,
10,0.000173092,,,
10,0.000172615,,,
10,0.000158072,,,
10,0.000170708,,,
10,0.000157356,,,
10,0.000171423,,,
10,0.000159979,,,
10,0.000156164,,,
10,0.000202179,,,
10,0.000161886,,,
10,0.000144958,,,
10,0.000159025,,,
10,0.000175476,,,
10,0.000154734,,,
10,0.000175714,,,
10,0.000164986,,,
10,0.000154972,,,
10,0.00015831,,,
10,0.000154972,,,
10,0.000147104,,,
10,0.000159264,,,
10,0.000156164,,,
10,0.000172615,,,
10,0.000155926,,,
10,0.000160933,,,
10,0.000159502,,,
10,0.000172615,,,
10,0.000147104,,,
10,0.000155926,,,
10,0.000172377,,,
10,0.000156641,,,
10,0.000170946,,,
10,0.000170946,,,
10,0.000172615,,,
10,0.000160694,,,
10,0.000156403,,,
10,0.000170231,,,
10,0.000154495,,,
10,0.000163794,,,
10,0.000169754,,,
10,0.000172138,,,
10,0.000160217,,,
10,0.00014472,,,
10,0.000157595,,,
10,0.000146151,,,
10,0.000160933,,,
10,0.000154018,,,
10,0.000259161,,,
10,0.000158787,,,
10,0.000160933,,,
12,0.000233412,,,
12,0.000205278,,,
12,0.000193596,,,
12,0.000179052,,,
12,0.000179768,,,
12,0.000193834,,,
12,0.000190973,,,
12,0.00019598,,,
12,0.000190258,,,
12,0.000192404,,,
12,0.000195265,,,
12,0.000187635,,,
12,0.000190258,,,
12,0.000179052,,,
12,0.000192165,,,
12,0.000184298,,,
12,0.000173807,,,
12,0.000194788,,,
12,0.000182152,,,
12,0.000181437,,,
12,0.000196457,,,
12,0.000197887,,,
12,0.000199318,,,
12,0.00020051,,,
12,0.000200272,,,
12,0.000178099,,,
12,0.000180721,,,
12,0.00017643,,,
12,0.000197411,,,
12,0.000171423,,,
12,0.000178576,,,
12,0.000200033,,,
12,0.000187635,,,
12,0.000181913,,,
12,0.000182629,,,
12,0.000195265,,,
12,0.000198364,,,
12,0.000179529,,,
12,0.000183821,,,
12,0.00020051,,,
12,0.000263929,,,
12,0.00018239,,,
12,0.000183105,,,
12,0.000224113,,,
12,0.000198364,,,
12,0.000197649,,,
12,0.000200033,,,
12,0.000179768,,,
12,0.000182867,,,
12,0.000198364,,,
12,0.000197649,,,
12,0.000201702,,,
12,0.000198364,,,
12,0.000184774,,,
12,0.000189543,,,
12,0.000183105,,,
12,0.000200748,,,
12,0.000183344,,,
12,0.000165939,,,
12,0.000184536,,,
12,0.000197649,,,
12,0.000184774,,,
12,0.000184059,,,
12,0.000196934,,,
12,0.000184059,,,
12,0.00017333,,,
12,0.000171661,,,
12,0.000195026,,,
12,0.000194788,,,
12,0.000223637,,,
12,0.000283003,,,
12,0.000224829,,,
12,0.00019002,,,
12,0.000183344,,,
12,0.000201464,,,
12,0.000199318,,,
12,0.000202417,,,
12,0.000198364,,,
12,0.000187159,,,
12,0.000278473,,,
12,0.000187874,,,
12,0.000196457,,,
12,0.000272274,,,
12,0.000195265,,,
12,0.000186443,,,
12,0.000185013,,,
12,0.000187159,,,
12,0.000186205,,,
12,0.000184059,,,
12,0.000182152,,,
12,0.000204086,,,
12,0.000182152,,,
12,0.000179291,,,
12,0.00019908,,,
12,0.000193834,,,
12,0.000184298,,,
12,0.000183344,,,
12,0.000179768,,,
12,0.000202179,,,
12,0.000230312,,,
12,0.000189304,,,
12,0.00019908,,,
12,0.000184774,,,
12,0.000205755,,,
12,0.000197649,,,
12,0.000187874,,,
12,0.000213623,,,
12,0.000198126,,,
12,0.000185251,,,
12,0.000197887,,,
12,0.000200272,,,
12,0.000186682,,,
12,0.000186682,,,
12,0.00018096,,,
12,0.000201464,,,
12,0.000198126,,,
12,0.000197887,,,
12,0.000195742,,,
12,0.000200748,,,
12,0.000225782,,,
12,0.000185251,,,
12,0.000170946,,,
12,0.000202417,,,
12,0.000198364,,,
12,0.000182867,,,
12,0.000250578,,,
12,0.000201464,,,
12,0.000199318,,,
12,0.000197649,,,
12,0.000183105,,,
12,0.000184059,,,
12,0.000208616,,,
12,0.000200272,,,
12,0.000195742,,,
12,0.000228643,,,
12,0.000169992,,,
12,0.000195265,,,
12,0.000182629,,,
12,0.000198603,,,
12,0.00019908,,,
12,0.000198364,,,
12,0.000181437,,,
12,0.000187159,,,
12,0.000187874,,,
12,0.000183821,,,
12,0.000185013,,,
12,0.00018692,,,
12,0.000180721,,,
12,0.000184536,,,
12,0.000196218,,,
12,0.000199795,,,
12,0.000197887,,,
12,0.000197172,,,
12,0.000200272,,,
12,0.000197887,,,
12,0.000186682,,,
12,0.000174284,,,
12,0.000198364,,,
12,0.000198841,,,
12,0.000197172,,,
12,0.000185728,,,
12,0.000169992,,,
12,0.000179291,,,
12,0.000201225,,,
12,0.000237703,,,
12,0.000179291,,,
12,0.000200987,,,
12,0.000186205,,,
12,0.0001688,,,
12,0.000187874,,,
12,0.000167847,,,
12,0.000182152,,,
12,0.000198603,,,
12,0.000196457,,,
12,0.000185251,,,
12,0.000183105,,,
12,0.000196218,,,
12,0.000180721,,,
12,0.000176907,,,
12,0.00019908,,,
12,0.000182629,,,
12,0.000200033,,,
12,0.000197172,,,
12,0.000165224,,,
12,0.000184298,,,
12,0.000198841,,,
12,0.000181913,,,
12,0.000184536,,,
12,0.000194311,,,
12,0.000180244,,,
12,0.000183821,,,
12,0.00018692,,,
12,0.000204802,,,
12,0.000200987,,,
12,0.00019598,,,
12,0.000199318,,,
12,0.000186443,,,
12,0.000196934,,,
12,0.000182152,,,
12,0.000183105,,,
12,0.000195503,,,
12,0.000196218,,,
12,0.000196934,,,
12,0.000184536,,,
12,0.000197887,,,
12,0.000211,,,
12,0.000183821,,,
12,0.000194311,,,
12,0.000185966,,,
12,0.000210524,,,
12,0.000198841,,,
12,0.000195742,,,
12,0.000185013,,,
12,0.000196695,,,
12,0.00018239,,,
12,0.00019908,,,
12,0.000203848,,,
12,0.000178814,,,
12,0.000197172,,,
12,0.00018239,,,
12,0.00018239,,,
12,0.000200272,,,
12,0.000196218,,,
12,0.000200748,,,
12,0.000169992,,,
12,0.000183821,,,
12,0.000198841,,,
12,0.000199795,,,
12,0.000184298,,,
12,0.000196934,,,
12,0.000153303,,,
12,0.000205755,,,
12,0.000169516,,,
12,0.000194788,,,
12,0.00019598,,,
12,0.000180721,,,
12,0.000182867,,,
12,0.000182152,,,
12,0.00020051,,,
12,0.000184298,,,
12,0.000194788,,,
12,0.000169516,,,
12,0.000194311,,,
12,0.000193119,,,
12,0.000197887,,,
12,0.000179052,,,
12,0.000196457,,,
12,0.000193119,,,
12,0.000181675,,,
12,0.000194073,,,
12,0.000195265,,,
12,0.000182867,,,
12,0.000180244,,,
12,0.000184774,,,
12,0.000183105,,,
12,0.000196934,,,
12,0.000198364,,,
12,0.000195026,,,
12,0.000181675,,,
12,0.000196695,,,
12,0.000196457,,,
12,0.000178576,,,
12,0.000179052,,,
12,0.000198126,,,
12,0.000181437,,,
12,0.00020051,,,
12,0.000197172,,,
12,0.000179291,,,
12,0.000198364,,,
12,0.00019908,,,
12,0.000195265,,,
12,0.000185013,,,
12,0.000179052,,,
12,0.000196695,,,
12,0.000196695,,,
12,0.000195742,,,
12,0.000200987,,,
12,0.000184059,,,
12,0.000169516,,,
12,0.000188589,,,
12,0.000184059,,,
12,0.000196218,,,
12,0.000186443,,,
12,0.000180483,,,
12,0.000199318,,,
12,0.000194073,,,
12,0.000181675,,,
12,0.000197887,,,
12,0.000182867,,,
12,0.000186682,,,
12,0.000196934,,,
12,0.000198841,,,
12,0.000192881,,,
12,0.000187159,,,
12,0.000201225,,,
12,0.000179291,,,
12,0.000179529,,,
12,0.000185013,,,
12,0.000197411,,,
12,0.000200272,,,
12,0.000196218,,,
12,0.000193119,,,
12,0.000200272,,,
12,0.000169992,,,
12,0.000195742,,,
12,0.000179768,,,
12,0.000197887,,,
12,0.000185013,,,
12,0.000183105,,,
12,0.000165701,,,
12,0.000183582,,,
12,0.000198603,,,
12,0.000201941,,,
12,0.000184536,,,
12,0.000186205,,,
12,0.000182152,,,
12,0.000184774,,,
12,0.000182152,,,
12,0.000201702,,,
12,0.0001688,,,
12,0.00019908,,,
12,0.000200033,,,
12,0.00018239,,,
12,0.000184774,,,
12,0.000185966,,,
12,0.000182867,,,
12,0.000185013,,,
12,0.000183582,,,
12,0.000197411,,,
12,0.00019598,,,
12,0.000196695,,,
12,0.000185013,,,
12,0.000181198,,,
12,0.000196695,,,
12,0.000164747,,,
12,0.000185966,,,
12,0.000180483,,,
12,0.000185013,,,
12,0.000201464,,,
12,0.000197172,,,
12,0.000169039,,,
12,0.00018239,,,
12,0.000201464,,,
12,0.000199795,,,
12,0.000201464,,,
12,0.000196934,,,
12,0.000198126,,,
12,0.000182867,,,
12,0.000180721,,,
12,0.000181913,,,
12,0.000183582,,,
12,0.000193357,,,
12,0.000186205,,,
12,0.000183105,,,
12,0.000180483,,,
12,0.000193357,,,
12,0.000181198,,,
12,0.000193119,,,
12,0.000179291,,,
12,0.000193834,,,
12,0.000197887,,,
12,0.000197887,,,
12,0.000195265,,,
12,0.000194073,,,
12,0.000216961,,,
12,0.000215054,,,
12,0.000201464,,,
12,0.000195265,,,
12,0.00018549,,,
12,0.000196457,,,
12,0.000192404,,,
12,0.000186443,,,
12,0.000179291,,,
12,0.000180006,,,
12,0.000195026,,,
12,0.000266314,,,
12,0.000168562,,,
12,0.000209808,,,
12,0.000181913,,,
12,0.000187635,,,
12,0.000180483,,,
12,0.000191212,,,
12,0.000194073,,,
12,0.000180244,,,
12,0.000180006,,,
12,0.000180244,,,
12,0.000166178,,,
12,0.000193596,,,
12,0.000167847,,,
12,0.000195742,,,
12,0.000193834,,,
12,0.000178814,,,
12,0.000166655,,,
12,0.000196695,,,
12,0.00019598,,,
12,0.000197649,,,
12,0.000198603,,,
12,0.000197887,,,
12,0.000182152,,,
12,0.000178814,,,
12,0.000184059,,,
12,0.000186682,,,
12,0.000196218,,,
12,0.000197172,,,
12,0.000200748,,,
12,0.000185966,,,
12,0.000202656,,,
12,0.00018549,,,
12,0.000188112,,,
12,0.000198126,,,
12,0.000196695,,,
12,0.000200748,,,
12,0.000197887,,,
12,0.000198364,,,
12,0.000181198,,,
12,0.000193834,,,
12,0.000197172,,,
12,0.000190735,,,
12,0.000200033,,,
12,0.000180244,,,
12,0.000181198,,,
12,0.000201225,,,
12,0.000200748,,,
12,0.000181198,,,
12,0.000198603,,,
12,0.000168324,,,
12,0.00018549,,,
12,0.000187635,,,
12,0.00020051,,,
12,0.000189781,,,
12,0.000202179,,,
12,0.000197887,,,
12,0.000197172,,,
12,0.000194073,,,
12,0.000183821,,,
12,0.000165462,,,
